text;time
#ولاية_دمشق  مرتدین صحوات کے دو افراد ھلاک اور دیگر زخمی ہوگئے، یہ; 8/30/2015
افراد جنوب دمشق یلدا میں ضلع الزین کی جانب جانیوالی ٹنل; 8/30/2015
nusra used to have a 5 to 7 km frontline against is in north-aleppo. is could never advance from that side.; 8/30/2015
@macroarch: أبو سمرا، طرابلس، لبنان  abo samra, tripoli, lebanon ht; 8/30/2015
tp://t.co/snakcqb7mr/s/tftw; 8/30/2015
for sake of allah return_of_the_gold_dinar https://t.co/zxkdy9oik7/s/a7hh http://t.co/nhkqjgxrjr/s/v84v http://t.co/jkdo16p9fx/s/vi21 http:.; 8/30/2015
حشد الشعبي کا مددگار صحوات الجیسات کا عنصر عدنان الجبوري آج #المال; 8/30/2015
حة / #بيجي میں جنود #الخلافة کے ہاتھوں ھلاک ہوگیا۔ http://t.co/cdom; 8/30/2015
e58qi7/s/l7uu; 8/30/2015
@ahwaal_ummat10: "مصطفى الزبيدي" جیش الصفوي کا عنصر جنود #الخلافة ک; 8/30/2015
ے ہاتھوں کل عراق میں ھلاک ہوگیا۔ http://t.co/ot6mr9wwmk/s/te28; 8/30/2015
wilayatsalahuddin side of the ongoing battles against safavid army &amp; militias west of baiji city http://t.co/pgzxkkoc/s/3wt-.; 8/30/2015
rt @abdelhakzait: @nasseralfahad0كما فعل المجاهدون   وليس مجاهدين كيف لجاهل باللغة أن يكون عالما بالدين; 8/31/2015
ameen #mojahdin #saudi  https://t.co/xqoctg3ppm; 8/31/2015
#is #doma  https://t.co/wxscnmsune; 8/31/2015
#ناصر_الفهد : [هذه الدولة (#السعودية ) لا تعرف جهاداً في سبيل الله ولا غيره، وإنما تعرف (الجهاد في سبيل أمريكا) ] .; 8/31/2015
pls share brothers and sisters  https://t.co/cske0scibu; 8/31/2015
عقبال #دمشق https://t.co/tn4tpglgxa; 8/31/2015
rt @cnn: photo of israeli soldier holding palestinian boy in headlock goes viral. http://t.co/od1tk1rwgx http://t.co/io0alauqdr; 8/31/2015
iraq hashd criminals bought to justice same way the killed sunnis , they were killed by is https://t.co/qsmogs3ihh/s/cgxy http.; 8/31/2015
غزوہ ابو حسان الخثعمی; 8/31/2015
غزوہ ابو حسان الخثعمی. .; 8/31/2015
yarmouk tv channel linked to the jordanian muslim brothers has been suspended by joedanian  authorities. http://t.co/pwio0plqdj/s/szin; 9/1/2015
@anti__terrorist: #wilayataljazirah harvesting comb honey from beehives http://t.co/uzrmzw9qny/s/dlak http://t.co/tdi7ndoht4/s/91cm; 9/1/2015
#alshabaab claims it killed 50+ #amisom soldiers from #updf in today's jannaale attack carried out by sheikh abu zubayr battali; 9/1/2015
@followthehaqqq: #islamicstate wilayet #sinai coming soon http://t.co/qn47d3r9e7/s/yiw2; 9/1/2015
#is #wilayatbarqah #libya  distributing da'wah leaflets in noufaliy; 9/1/2015
ah town. 📷 http://t.co/obltqwjchj/s/yrbt http://t.co/fsd3nwsdgo/s/; 9/1/2015
on_y; 9/1/2015
the bakery administration ➡  9th in top ten selected  wlaya raqqah; 9/1/2015
https://t.co/nsaifpbng7/s/zisk http://t.co/83mzxnoavi/s/zg4v; 9/1/2015
general petraeus: use al-qaeda (jn) fighters to beat the islamic state   http://t.co/gbpj6jz9kp/s/nsva   i leave the comments to; 9/1/2015
poor is "baathists &amp; saddamists",even russia have intervenerad on behalf of #assad  so, kuffar, nationalists, apostates, sultan scholars etc; 9/1/2015
@3diyah1000: most popular attacks in somalia last years : #dayniile attack, #lego attack, #jannale attack, #yurkud attack. #somalia; 9/1/2015
us-trained division 30 has entered marea to fight the islamic state, jn has reportedly allowed this (?!) http://t.co/xc7g/s/6khj.; 9/1/2015
@tawheed1_is but one is important to live when the other one is not!; 9/1/2015
the word of the week! https://t.co/b8bvjryu5s; 9/1/2015
@ironmuhajir2 @jundhullah14  nothing like jihad, god give us the help and power to do our farrida; 9/1/2015
جديد  #ولاية_سيناء  حصاد الأجناد  https://t.co/wyghkb7aoa/s/_h8l و; 9/2/2015
https://t.co/4yov4xftmh/s/jfuk و https://t.co/vxdsebljnb/s/gxfh htt; 9/2/2015
p://t.; 9/2/2015
#islamicstate now just 8 kilometres from great umayyad mosque. march towards #damascus https://t.co/gaapm97s0r; 9/2/2015
breaking nigeria islamic state advance on lagos the business capital biggest city in nigeria  http://t.co/nfchta18f3/s/n6gp; 9/2/2015
#wilayatalfallujah  new video : the knights of victory (part 3)  coming soon.....inshaallah http://t.co/racibw8ynu/s/uxrn; 9/2/2015
@jazrawi_missk: apostate fsa group declares hiwar this area circled as a military zone. http://t.co/34ajemelva/s/zjmi; 9/2/2015
my heart is tears blood every day for those kids from the occupied #syria my loved country https://t.co/izpjdxskg2; 9/2/2015
wilayatsayna konkurs missile attacks - harvest of the soldiers islamic state wilayat sayna' http://t.co/2ohogdxvko/s/y-je...; 9/3/2015
#wilayatalfurat new video : rejoice of the citizens with gold currency http://t.co/whlum0r4ga/s/fgvn https://t.co/dl5apf88w7/s/v0a6 ht.; 9/3/2015
here is the #jn shar'ī who was doing the job. see the face? his nam; 9/3/2015
e is abu abwab.  (2/2)  https://t.co/qi2nakvgsi/s/nrrr; 9/3/2015
rt @pieternanninga: new 37-min video #is #sinai prov.: snipers, vbieds, manpads &amp; footage of last july's attack on #egypt|ian patrol boat h…; 9/3/2015
rt @pieternanninga: new #is video shows four men being burned alive in al-anbar province http://t.co/yvdlfhfauv; 9/3/2015
ali mohammad beqaaey died. second syrian refugee child to die shot by funeral stray bullets in lebanon, in 2 months....; 9/3/2015
@uygaraktas: #uighurs are being eliminated in pakistan under the pretext of war  against terrorism  http://t.co/1qwksvvqkk/s/kjqn; 9/3/2015
what more...sariyyah al-ghuraba are extended to mali &amp; sahara of maghrib/ algeria!; 9/3/2015
mujahideen from burma capture 3 pigs of the buddhist army http://t.co/ujmknmr6nh/s/l_oi; 9/3/2015
britain should not take more middle east refugees, says david cameron http://t.co/baiadrze0h/s/uwyk http://t.co/ftjbfur9xh/s/2qdx; 9/3/2015
@striv3ric: here's an alternative link of the statement of the pledge on archive org  https://t.co/l4who4mbug/s/gyzx; 9/3/2015
https://t.co/wsgdfe73mq/s/erwg  #amaq_news: video showing #is soldiers controlling the entire #al_qadam quarter south of #damascus.; 9/3/2015
rt @muslimprisoners: bothers &amp; sisters plz show determination. if the haters never trier banning abu haleemah, we should never stop our sho…; 9/3/2015
rt @3bdulkaed6r: russian troops 'fighting alongside assad's army against syrian rebels' http://t.co/crncnucx9q; 9/4/2015
rt @syrializer: #syria: isis destroys more ancient artifacts in #palmyra #islamicstate http://t.co/0bc2etgejl http://t.co/ip8ggznxsb; 9/4/2015
iraq basra body of young sunni child found with signs of torture 1 day after being kidnapped by rafidah militia; 9/4/2015
@ak47_pk: #is launched #katyusha rockets against #peshmerga barracks in  #hawija http://t.co/uhbnrgtqch/s/8uqa; 9/4/2015
@ak47_pk: #is official statement on ishtihadi operasion in south east of  #ramadi http://t.co/3us8jmgfjq/s/ter7; 9/4/2015
@ak47_pk: wilayatwestafrica/ double martydom operation targeted military #camp in north cameroon kills 19,wounds 143; 9/4/2015
tower of elahbel a grave made into a tower, worshiped by people around the world. destroyed by islamic state.; 9/4/2015
العراق : بيجي  جحش کا رافضی لیڈر "مصطفى المحمداوي" کل جنود الدولة ا; 9/4/2015
لإسلامية کے ہاتھوں ھلاک ہوگیا۔ http://t.co/ae1lnq60z3/s/-iyz; 9/4/2015
large quantities of weaponry left behind by iraqi army and badr militia upon attack by #isis in #fallujah, #iraq. #pt http://t.co/yzscxk; 9/5/2015
@spamci16: more than 70000 childrens have been killed by assad regime.why cry only for the drowned child?hypocricy of the world.; 9/5/2015
photos: #uae broadcast footage of airstrikes in #yemen after 45 uae soldiers killed in marib.- @flea1337 http://t.co/2gky3hemjw/s/-zph; 9/5/2015
also my sincere condolences for uae , but also for the 4500 yemeni civilian killed in this meaningless war  https://t.co/qlvrqzekjl/s/gqek; 9/5/2015
syrian apostate sahwat dragging a beheaded corpse of a muslim for the sake of america and turkey https://t.co/m9nijoqny4/s/9pvk; 9/5/2015
#ولاية_حلب  مدينة مارع میں جنود خلافة کیساتھـ جھڑپوں میں ہلاک ہونیو; 9/5/2015
الےمرتدین صحوات کی لاشیں  http://t.co/gdwuxmxsjx/s/t-ex http://t.co/lpgdnytdio; 9/5/2015
/xglf2tcqf5/s/zmtr; 9/5/2015
@ak47_pk: this is how coalition air raid destroyed humanity,  an infant injured in an coalition strike at ar rutbah, august 6...; 9/5/2015
15 year old us crusader sent to hell with i fag in his mouth by islamic state in kafra mazra3ah. hilarious http://t.co/d2/s/cp7e.; 9/5/2015
a canadian warplane mistakenly broadcast its location over islamic state controlled territory http://t.co/vi8cngojcr/s/dhc; 9/5/2015
couple of the tweets gives you an idea of the situation at that time.. http://t.co/y6bnsevsus/s/g2wb; 9/5/2015
what happened to all the aqap leaders? story of a mubahala by abu bilal al yemeni (is yemen) http://t.co/itmdnly6zp/s/xa5u; 9/5/2015
islamic state wilaya alanbar dead apostates prisoners executed west of khalidiya http://t.co/useiyb0xqn/s/fwxz http://t.co/ppqvrvruku/s/80lk; 9/5/2015
@update_my_info: #دولة_الخلافة #ولاية_دمشق الثمار في مدينة القريتي; 9/5/2015
ن http://t.co/rhlebne6zb/s/dyuj http://t.co/ojcjirawxk/s/mlce; 9/5/2015
@1436rpg: coming soon... wilayat kirkuk http://t.co/zwjuj2ijnl/s/q01j; 9/5/2015
@ak47_pk: coming soon... wilayat kirkuk http://t.co/zwjuj2zvbv/s/q01j; 9/5/2015
@mustafaklashin7: correction: while ghouta is besieged, allloush is eating in a restaurant in amman (jordan); 9/5/2015
islamic state  wilaya sinai destroying cigarettes in the land cigarettes were invented egypt https://t.co/etimgpec8g/s/6khs...; 9/5/2015
al jazeera source of recruitment for is?! 😯you know the same chann; 9/5/2015
el that had interview with jowlani http://t.co/zbqjfqjtwc/s/lw9o; 9/5/2015
@joinisnation78: #is #wilayathims #syria side of the works of hisba; 9/5/2015
. 📷 https://t.co/vmbmc7vkny/s/b_s0 http://t.co/j8jsnbhk81/s/pyj5; 9/5/2015
ولاية_كركوك  الآن الآن جاء القتال ᴴᴰ #يوتيوب✔ https://t.co/pubigndt; 9/5/2015
ev/s/htvd http://t.co/8fksuayrcu/s/k1kk; 9/5/2015
shame on you arabs;shame on you islamic countries shame on you gulf countries you're no less than#assad syria https://t.co/itw4lorxa8/s/bjns; 9/5/2015
la hawla walā quwwata illā billah.  aqap betrayed from their own al; 9/5/2015
ly the taghūt hādī, abt 100 killed, tens captured &amp; injured by hout; 9/5/2015
hīs; 9/5/2015
those poor children lost their parents only to be taken in by killers liars thieves terrorists and traitors. what good can come out of it; 9/5/2015
الدولة_الإسلامية کے خلاف #امریکہ کی #القاعدة کی مدد پر #انصاراللہ ا; 9/5/2015
ردو کا تبصرہ http://t.co/ezbdhd6xqm/s/wj4v #داعش http://t.co/4j1uko; 9/5/2015
r08o/s/q8sj; 9/5/2015
new strategy of the us, assad to advance from homs with russian support and pkk from birth raqqa with us support.; 9/5/2015
@abubakrmuwahid: sahwat withdraw from an area inside #marea as is advances   https://t.co/sdypp9wxk3/s/6ecy; 9/5/2015
#حمص | #الدولة_الاسلامية نے اسدی فورسز کے ساتھـ جھڑپوں کے بعد جزل ا; 9/5/2015
ٓئل فیلڈ کے کچھـ حصوں پر کنٹرول کرلیا ہے۔; 9/5/2015
al-shabab takes control of two towns in somalia http://t.co/ikqrxilodn/s/ogtd http://t.co/fv1mg3gnf4/s/btdk; 9/5/2015
@jazrawi_ouud: turkish soldier kidnapped thought to be taken by smugglers and not islamic state #turkey http://t.co/f81n3lyt6i/s/3bk-; 9/5/2015
@ak47_pk: @alarabiya_eng: ten #saudi soldiers killed near #yemeni border http://t.co/2fqdsy6xer/s/hnlf http://t.co/aovplapwp2/s/7rrr; 9/5/2015
@jtmharreh that's an untold story. a painful reality; 9/5/2015
@bintrosie34 our prophet, has ordered us to fight you till you worship allah alone or give jizya, he who withholds the jizya is an (1); 9/5/2015
@bintrosie34 forgot to put this "" in my tweets. lol..; 9/5/2015
@bintrosie34 is was mentioned about jizya after they conquered mosul and is was told them who want to stay under the caliphate must give it; 9/5/2015
@bintrosie34 yeah madkhalis also against this all out. this is caliphate upon prophet methodology not upon obama methodology lol..; 9/5/2015
@bintrosie34 it would be on main page of report or papers if is save nuns from safavids or nusayris. lol; 9/5/2015
@bintrosie34 because they don't want to accept the sharia because they know they can't spread their stupid religion, practice publicly (1); 9/5/2015
@bintrosie34 they were discovered and learnt that is would be destroy all the crosses in is area and change a church in to a dawah hall (2); 9/5/2015
institution of the cubs of the caliphate in wilayat #alkhayr #deirezzor http://t.co/0oltzgsjfq http://t.co/ibqpcdpm8p; 9/5/2015
@jazrawi_ouud this is a critic from abu abdullah as shami?; 9/5/2015
@striv3ric i think he "abu abdullah shami" who made mubahala wit sh adnani. since allāh was invoked his curse upon them,they weren't on haqq; 9/5/2015
a beautiful scenery can be seen on this picture. one of the bridges in #mosul. city of caliphate #islamicstate http://t.co/ddxeoxatxm; 9/6/2015
humanity only belong to kuffar. it's humanity if kuffar carried out a genocides on muslims.  https://t.co/oto2yqg8xa; 9/6/2015
rt @ramiallolah: #drones footage taken prior an #isis massive vbied attack on an #iraq|i army barrack.. http://t.co/yc1q1c081t; 9/6/2015
rt @sakirkhader: shocking footage apparently shows the bodies of several tied and tortured #is|#isis prisoners in a #iraq|i jail. &gt; http://…; 9/6/2015
liwa thuwwar syria going to begin a battle in allajat against #islamicstate https://t.co/fm1itwk0z8; 9/7/2015
@jazrawi_ouud i thought this was the beginning of their suffering in the facing of death @zaheralali00; 9/7/2015
@_mafalde_ jazakallahu akh; 9/7/2015
rt @the_joker_dc: came to the wrong manor  😂 http://t.co/yry5duezh4; 9/7/2015
rt @ramiallolah: happens only in the pathetic western media: the terrorist dogs transform into rebels! #turkey #pkk #twitterkurds https://t…; 9/8/2015
rt @ramiallolah: #washington's tail; the head of #hdp threatens #ankara he will turn #turkey into another #syria.. #pkk #twitterkurds https…; 9/8/2015
rt @muslimprisoners: mainstream media reporting that @anjemchoudary has 10 bail conditions http://t.co/zffuwycg11; 9/8/2015
thx god, our lovely shiekh is free  wish to meet you soon teacher and wish the freedom for all brothers in preson https://t.co/dhxrsgcwur; 9/8/2015
sh abu mus'ab az zarqawi rahimahullāh while he's a leader of tandhim tawheed wal jihad beheading an american. enjoy https://t.co/rbrmmfr2wu; 9/9/2015
martyrdom operation by akhi abu turab al jazrawi in wilayat #salaheddeen. may allāh accept and high his rank. http://t.co/dxm7yij9re; 9/9/2015
@yazeeddhardaa25 watch video https://t.co/uy7nmwo4xm https://t.co/akzqymuvfo; 9/9/2015
@fujiomaiko listen carefully to the 1st nasheed in this vid remember the series of is vid featuring sh umar in dez nawafid min ard almalahem; 9/9/2015
@fujiomaiko it's makes me remember abu shuaib al libi and abu ayyub al libi.; 9/9/2015
two martyrdom operations conducted in vicinity of #deirezzor airport following with the massive attacks by the fighters of #islamicstate; 9/9/2015
@fujiomaiko yeah. gazwat of al khayr before the jan13. then they came back to aleppo.; 9/9/2015
@fujiomaiko akhi give me a link of nasheed that featuring in return of gold dinar.; 9/9/2015
@fujiomaiko yt link?; 9/9/2015
@isabatubaghdadi jazakallahu akhi @fujiomaiko @truthfulfamily2; 9/9/2015
@fujiomaiko i know you can search it for me ya akhi abu nasheed; 9/9/2015
@fujiomaiko jazakallahu akhi; 9/9/2015
@jtmharreh a lion that thirsting a safavid's bloods with his silencer.; 9/9/2015
it was a year after the released of saleel as sawarim 4.. i hope the 5th version will coming soon.; 9/9/2015
rt @ramiallolah: #facebook page of ole johan ofstad from #norway who #isis demands a ransom for his release: https://t.co/ujk4onj5td http:/…; 9/9/2015
rt @ramiallolah: #isis offering a prisoner from #norway for sale: ole johangrimsgaard-ofstad.. http://t.co/pzmsx30grz; 9/9/2015
rt @ramiallolah: #isis #dabiq issue: 11 https://t.co/tge0aufo0q http://t.co/s5y1nbjih3; 9/9/2015
rt @__islamreligion: why do muslims eat halal meat?  لماذا يأكل المسلمون اللحم الحلال؟  http://t.co/ceetypwwmq  🎥  #usa #uk #sasummer #rt h…; 9/9/2015
assalaam o alikum; 9/10/2015
pls re tweet  https://t.co/h43fee7iil; 9/10/2015
there is no good in us if the people of shaam corrupt; 9/10/2015
عن أبي ذر رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: الشام أرض المحشر والمنشر; 9/10/2015
( ستخرج نار قبل يوم القيامة من بحر حضر موت ، تحشر الناس ، قالوا: يا رسول الله ! فما تأمرنا ؟ قال: عليكم بالشام . ) رواه الترمذي; 9/10/2015
rt @ramiallolah: #breakingnews #isis showing a private information of #usa @potus and his family after a hacking attempt a while ago http:/…; 9/11/2015
#أمريكا_تحت_الإختراق #أمريكا_تحت_الإختراق #أمريكا_تحت_الإختراق #أمريكا_تحت_الإختراق #أمريكا_تحت_الإختراق #أمريكا_تحت_الإختراق; 9/11/2015
rt @markito0171: #russia'n combat forces in #syria's desert of eastern rural #homs province -with russian army truck http://t.co/t7zsxptx0p; 9/11/2015
rt @sta_92: الإعلام الروسي السافل يعترف بأول فطائسه في أرض الشام المباركة الجندي باران  أرض الشام مقبرة الغزاة بإذن الله http://t.co/9utrcq…; 9/11/2015
rt @ejmalrai: #jn #aq spokesperson harshly attack #ahrar al-sham with an endless list of accusation. #syria. https://t.co/db8ggsmvbh; 9/12/2015
may allah protect you from all bad people  https://t.co/cy4bjqjddo; 9/13/2015
@akhmad_john @rahimred1 the link is not opening bro, any other way to open it?; 9/13/2015
rt @islamiceyes: nabi saw said, "no one who has the weight of a seed of arrogance in his heart will enter paradise.” (muslim); 9/13/2015
where are muslims where ared the real #is #mujahdeen, what a shame so disappointed  https://t.co/qoeolqhpbj; 9/13/2015
rt @aimanofarabia: a summary of what happened in masjid al aqsa this morning. israel thinks it can stop people from coming to pray. http://…; 9/13/2015
rt @ramiallolah: no need to worry about #russia|n 'invasion' in #syria. one friday sermon in #mecca declaring 'defensive jihad' is more tha…; 9/15/2015
winter has started in #london, that means more cloud less light and more and more depression; 9/15/2015
rt @freealeppo1985: #جيش_الاسلام يرتكب مجزرة اليوم بحق دبابات #الأسد وميليشا #حزب_الله ومازالت المعارك مستمر حتى هذه اللحظة http://t.co/u7j…; 9/15/2015
any one knows best way to apply for a #jobs with #muslimcommunity or any shop with real islamis manor?!; 9/15/2015
rt @ayyx3: subhan allāh its amazing how we can love and care for brothers and sisters even though we haven't met them because its fī sabīli…; 9/15/2015
@_ummhussain masha'a allah you have made an important step for this life and the #hereafter, may allah honors us with #hijjrah&amp; #shahada; 9/15/2015
@iraqisuryani1 @w_jurjia and what about houthy militia booms and attacks civilian why you don't mention it!; 9/15/2015
yesss proudly we are  https://t.co/dupstzlutj; 9/19/2015
any 1 can tell what make those chiekh speak this way is it for the sake of the western govs or brain washed by media https://t.co/q1y3nswld6; 9/19/2015
the big propaganda of #human #rights  https://t.co/xmo5zccb1s; 9/19/2015
rt @pray4pal: crisis electricity, water, oil, no work, no rebuild. living in a prison. life is a miracle in gaza  #gazaunderattack http://t…; 9/19/2015
rt @muslimprisoners: islamic roadshow lewisham today.  may allah accept their efforts in conveying the message of islam in the uk, ameen. h…; 9/21/2015
go ahead lions  https://t.co/rrulw3pqvt; 9/21/2015
@khadijavf she did that to me too.just search her name; 9/23/2015
@joinisnation82 gets more interesting; 9/23/2015
@princessbaqiya2 yes; 9/23/2015
@jazrawi_3uud good to know. alhamdulillah; 9/23/2015
filled with terror! https://t.co/y3pshqksp1; 9/23/2015
@endoftimes411 they will be captured and detained!; 9/23/2015
@princessbaqiya2 feeling safe for now! feeling like a tourist!; 9/23/2015
nuclear war is coming!!! https://t.co/v73gmveabi; 9/23/2015
alhamdulillah! https://t.co/wylw9xyvqp; 9/23/2015
@wakasfahad10 @lionerr20 nice to hear that!; 9/23/2015
@skjfgyi7r6 @w97788 ok..shukran kathiran; 9/23/2015
@_croxetti_ @proj32 @wilayathalab @abu_q_14 @abu_adamm then block me.i dont care.im not here for you.im here for the haqq; 9/23/2015
rt @markito0171: #syria #islamicstate launched new attacks on kafrah &amp; shaykh isa in northern #aleppo http://t.co/xvjezigrha; 9/23/2015
rt @markito0171: #syria #damascus regime dropped nearly 100 barrel bombs on southern #dariya suburb the past 2 days; 9/23/2015
rt @netzpolitik: we unveil the german secret service (bnd) plans to upgrade its surveillance technology for 300 million euros. https://t.co…; 9/23/2015
rt @amanlikeme: 2. secondly, the syrians have not been given stinger missiles.. or any kind of anti aircraft for that matter.; 9/23/2015
rt @amanlikeme: 1. firstly, the afghan mujahideen were backed by the whole world and weren't hunted and chased down like the syrian rebels.; 9/23/2015
rt @amanlikeme: there are two reasons syria will not be the next "afghanistan" for russia:; 9/23/2015
rt @eyeonmilitant: #syria daesh claims a suicide attack in the al-zahra area of #homs http://t.co/7xu2jgqsdi; 9/23/2015
rt @jihadology_net: statement from the islamic state of iraq: “to the esteemed tribal leaders” http://t.co/t42eb5kv9d; 9/23/2015
rt @eyeonmilitant: #yemen #houthis claim to have storm 4 #saudi military bases in #jizan, captured al-qamar village : al-masirah tv . http:…; 9/24/2015
@skxx59 the jn aq is he crying? maybe bcause he was forced to do it..!; 9/24/2015
@skxx59 why? cant we access the server?; 9/24/2015
@wilayathalab akhi please check ur dm; 9/24/2015
@_croxetti_ @proj32 @wilayathalab @abu_q_14 @abu_adamm idont care; 9/24/2015
